1 Perlis, A. J.
2 Sugai, I.
3 Friedman, M. D.
5 Wadey, W. G.
6 Muller, M. E.
8 Friedman, M. D.
9 Conway, M. E.
11 Strong, J.
12 Call, D. H.
14 Strong, J.
15 Giblin, J.
16 Jeeves, T. A.
17 Ershov, A. P.
18 Adams, E. S.
20 Wegstein, J. H.
21 Voorhees, E. A.
22 Morris, E. F.
23 Kautz, W. H.
24 Sisson, R. L.
25 Holt, A. W.
26 Bemer, R. W.
27 Randels, J. B.
28 Corley, H. P. T.
29 Selden, W.
30 Wolpe, H.
31 Grumette, M.
32 Halpern, M.
33 Kenny, B. C.
34 Wilf, H. S.
35 Bemer, R. W.
36 Conway, R. W.
37 Humphrey, S. M.
38 Irons, E. T.
39 Wolfe, P.
40 Buchholz, W.
41 Nadler, M.
42 Sarafyan, D.
43 Greenwald, I. D.
44 Knuth, D. E.
45 Gant, W. T.
46 Codd, E. F.
47 Zaitzeff, E. M.
48 Nadler, M.
49 Fike, C. T.
50 Hamblen, J. W.
51 Gorn, S.
52 Cook, J. M.
54 Brittenham, W. R.
55 Kaner, H.
58 Machmudov, U. A.
60 Wersan, S. J.
61 Hornick, S. D.
62 Lesh, F. H.
63 Li, S. T.
64 Green, J.
65 Dijkstra, E. W.
66 Bemer, R. W.
67 Blachman, N. M.
68 Fein, L.
69 Hamblen, J. W.
70 Aegerter, M. J.
71 Bagley, P. R.
72 Hollingsworth, J.
73 Gschwind, H. W.
74 Shell, D. L.
75 Chow, W. M.
76 Taranto, D.
77 Arden, B.
78 Wouk, A.
79 Schecher, H.
80 Schwartz, B. L.
81 Gleissner, G. H.
82 Williams, F. A.
83 Carr III, J. W.
85 Carr III, J. W.
86 Controller General of the United States to the Congress of the United States
87 Muller, M. E.
88 Hicks, J. S.
89 Larson, E. H.
90 Ercoli, P.
91 Gilman, R. E.
92 Bemer, R. W.
93 Wegstein, J. H.
94 Howell, J.R.
95 Powers, J. E.
96 Hansen, R. C.
97 Luebbert, Capt. W. F.
98 Sheridan, P. B.
99 Green, J.
100 Carr III, J. W.
101 Nather, V.
